"Date","Price","Open","High","Low","Vol.","Change %"
"24-09-2020","7,418.85","7,598.10","7,614.05","7,398.35","161.03M","-3.54%"
"23-09-2020","7,690.90","7,748.25","7,793.00","7,609.55","158.86M","-0.06%"
"22-09-2020","7,695.25","7,837.90","7,846.20","7,600.30","213.89M","-1.75%"
"21-09-2020","7,832.20","8,170.10","8,176.30","7,791.65","160.78M","-4.04%"
"18-09-2020","8,161.70","8,180.25","8,221.30","8,125.45","170.66M","0.41%"
"17-09-2020","8,128.65","8,106.10","8,145.60","8,041.85","112.25M","-0.34%"
"16-09-2020","8,156.20","8,055.00","8,220.40","8,041.00","210.28M","1.53%"
"15-09-2020","8,033.50","8,067.80","8,074.10","7,997.80","157.62M","-0.02%"
"14-09-2020","8,035.35","7,998.45","8,094.40","7,955.10","222.42M","0.99%"
"11-09-2020","7,956.80","7,953.25","7,995.25","7,930.80","114.79M","0.15%"
"10-09-2020","7,945.00","7,962.55","7,980.10","7,873.00","133.41M","0.53%"
"09-09-2020","7,903.10","7,836.80","7,926.80","7,780.30","174.45M","0.19%"
"08-09-2020","7,888.00","7,975.20","7,995.65","7,867.85","124.58M","-0.88%"
"07-09-2020","7,957.85","8,039.30","8,062.35","7,906.65","150.98M","-0.48%"
"04-09-2020","7,996.55","7,916.80","8,128.45","7,890.45","196.30M","-0.66%"
"03-09-2020","8,049.55","8,012.75","8,097.90","8,008.00","175.36M","0.91%"
"02-09-2020","7,976.95","7,895.15","8,004.25","7,799.45","140.70M","1.15%"
"01-09-2020","7,885.95","7,872.20","7,972.55","7,824.15","130.82M","0.58%"
"31-08-2020","7,840.35","8,161.75","8,177.00","7,814.00","250.90M","-3.35%"
"28-08-2020","8,111.85","8,209.10","8,223.60","8,101.05","171.81M","-0.87%"
"27-08-2020","8,183.00","8,141.05","8,198.50","8,080.70","260.30M","1.02%"
"26-08-2020","8,100.50","8,096.60","8,143.25","8,074.25","275.77M","1.46%"
"25-08-2020","7,983.60","7,997.00","8,034.40","7,933.20","163.98M","0.44%"
"24-08-2020","7,948.40","7,972.70","8,062.95","7,932.50","115.42M","0.17%"
"21-08-2020","7,934.70","7,994.90","7,995.35","7,910.55","136.56M","0.29%"
"20-08-2020","7,911.60","7,878.70","7,948.50","7,844.65","175.59M","-0.37%"
"19-08-2020","7,941.35","7,987.15","8,029.75","7,927.60","220.16M","-0.01%"
"18-08-2020","7,941.85","7,879.50","7,979.30","7,878.30","199.52M","0.97%"
"17-08-2020","7,865.55","7,757.60","7,879.55","7,667.75","189.53M","2.45%"
"14-08-2020","7,677.65","7,888.65","7,898.90","7,657.95","285.59M","-2.56%"
"13-08-2020","7,879.75","7,801.10","7,896.10","7,757.05","422.67M","1.22%"
"12-08-2020","7,785.05","7,613.75","7,808.10","7,586.75","202.28M","2.03%"
"11-08-2020","7,630.35","7,675.40","7,699.05","7,618.30","154.23M","0.12%"
"10-08-2020","7,621.30","7,593.70","7,688.70","7,577.50","173.61M","0.88%"
"07-08-2020","7,554.45","7,484.95","7,598.30","7,468.20","155.68M","0.75%"
"06-08-2020","7,498.25","7,521.95","7,532.40","7,433.10","120.21M","0.12%"
"05-08-2020","7,489.10","7,397.00","7,511.80","7,392.20","179.77M","1.84%"
"04-08-2020","7,353.95","7,282.45","7,381.65","7,273.20","183.58M","1.57%"
"03-08-2020","7,240.25","7,323.65","7,469.10","7,224.80","277.94M","-0.54%"
"31-07-2020","7,279.75","7,311.45","7,328.50","7,225.75","86.16M","-0.11%"
"30-07-2020","7,287.85","7,340.80","7,398.90","7,270.55","101.43M","-0.58%"
"29-07-2020","7,330.25","7,425.75","7,464.15","7,299.70","103.36M","-1.17%"
"28-07-2020","7,416.90","7,193.15","7,438.05","7,185.25","140.72M","3.21%"
"27-07-2020","7,186.45","7,233.90","7,238.60","7,121.95","78.61M","-0.45%"
"24-07-2020","7,218.65","7,228.40","7,271.00","7,178.85","107.07M","-1.13%"
"23-07-2020","7,301.05","7,205.80","7,313.00","7,172.40","77.12M","1.35%"
"22-07-2020","7,203.95","7,301.00","7,306.75","7,154.15","119.49M","-1.26%"
"21-07-2020","7,295.75","7,209.00","7,317.55","7,198.25","144.34M","1.67%"
"20-07-2020","7,175.85","7,161.70","7,183.20","7,105.55","104.73M","0.54%"
"17-07-2020","7,137.30","7,039.55","7,154.75","7,016.85","119.34M","1.73%"
"16-07-2020","7,015.90","6,940.75","7,027.25","6,853.75","108.11M","1.22%"
"15-07-2020","6,931.05","6,960.40","7,003.55","6,910.20","112.66M","0.22%"
"14-07-2020","6,916.00","7,047.65","7,050.10","6,883.70","107.72M","-2.38%"
"13-07-2020","7,084.45","7,094.15","7,139.85","7,035.90","136.58M","0.62%"
