"Date","Price","Open","High","Low","Vol.","Change %"
"30-09-2020","4,666.55","4,693.40","4,708.80","4,656.55","711.72M","-0.26%"
"29-09-2020","4,678.70","4,728.95","4,738.30","4,644.95","936.35M","-0.45%"
"28-09-2020","4,699.70","4,581.85","4,705.20","4,574.70","887.47M","3.63%"
"25-09-2020","4,534.95","4,409.10","4,545.65","4,368.00","1.15B","4.12%"
"24-09-2020","4,355.30","4,439.70","4,439.70","4,349.65","965.43M","-2.92%"
"23-09-2020","4,486.45","4,526.50","4,553.80","4,433.10","1.07B","-0.22%"
"22-09-2020","4,496.55","4,569.55","4,574.20","4,419.90","1.02B","-1.67%"
"21-09-2020","4,572.85","4,772.50","4,782.35","4,544.80","785.72M","-4.09%"
"18-09-2020","4,767.75","4,809.00","4,826.05","4,752.70","756.89M","-0.44%"
"17-09-2020","4,788.70","4,759.70","4,797.30","4,746.75","525.65M","0.10%"
"16-09-2020","4,783.75","4,781.75","4,807.15","4,764.95","527.88M","0.29%"
"15-09-2020","4,770.05","4,763.40","4,784.75","4,743.75","1.15B","0.63%"
"14-09-2020","4,740.10","4,691.50","4,773.80","4,689.25","860.91M","2.05%"
"11-09-2020","4,644.85","4,608.10","4,650.85","4,602.20","534.83M","0.91%"
"10-09-2020","4,603.05","4,604.95","4,627.20","4,544.35","709.61M","0.78%"
"09-09-2020","4,567.50","4,539.15","4,581.65","4,493.95","819.29M","-0.43%"
"08-09-2020","4,587.00","4,679.60","4,680.05","4,566.80","869.85M","-1.69%"
"07-09-2020","4,665.85","4,746.85","4,764.95","4,638.65","1.71B","-1.15%"
"04-09-2020","4,720.10","4,722.40","4,789.75","4,702.40","2.07B","-1.99%"
"03-09-2020","4,816.05","4,775.40","4,824.15","4,770.70","1.89B","1.31%"
"02-09-2020","4,753.90","4,700.00","4,767.55","4,662.80","939.98M","1.51%"
"01-09-2020","4,683.30","4,658.65","4,727.65","4,580.80","2.34B","1.00%"
"31-08-2020","4,636.95","4,868.85","4,890.20","4,608.60","1.50B","-3.99%"
"28-08-2020","4,829.55","4,823.85","4,862.05","4,817.85","2.21B","0.87%"
"27-08-2020","4,788.10","4,817.30","4,828.10","4,781.55","794.52M","0.01%"
"26-08-2020","4,787.70","4,777.65","4,805.20","4,770.10","661.40M","0.66%"
"25-08-2020","4,756.40","4,777.30","4,797.40","4,732.50","753.47M","0.32%"
"24-08-2020","4,741.10","4,739.60","4,767.20","4,734.20","1.03B","0.64%"
"21-08-2020","4,711.05","4,744.45","4,763.20","4,705.30","815.78M","0.17%"
"20-08-2020","4,703.00","4,625.45","4,714.60","4,608.30","771.56M","0.92%"
"19-08-2020","4,660.00","4,657.40","4,683.50","4,650.25","740.83M","0.57%"
"18-08-2020","4,633.65","4,580.30","4,640.75","4,575.40","640.52M","1.43%"
"17-08-2020","4,568.20","4,581.50","4,585.40","4,529.15","504.84M","0.67%"
"14-08-2020","4,537.80","4,623.70","4,637.20","4,501.60","958.71M","-1.45%"
"13-08-2020","4,604.60","4,532.50","4,612.70","4,529.05","1.01B","2.20%"
"12-08-2020","4,505.65","4,472.20","4,516.80","4,450.25","644.93M","0.57%"
"11-08-2020","4,480.15","4,502.20","4,510.25","4,473.80","684.65M","0.04%"
"10-08-2020","4,478.50","4,480.20","4,495.35","4,453.35","906.61M","0.92%"
"07-08-2020","4,437.75","4,364.20","4,447.05","4,352.25","1.24B","1.87%"
"06-08-2020","4,356.40","4,339.25","4,365.70","4,321.20","678.40M","0.88%"
"05-08-2020","4,318.55","4,321.60","4,354.10","4,295.65","760.42M","0.70%"
"04-08-2020","4,288.65","4,253.70","4,294.60","4,250.90","710.15M","1.36%"
"03-08-2020","4,231.30","4,250.75","4,286.25","4,227.30","822.87M","-0.42%"
"31-07-2020","4,249.05","4,269.85","4,278.90","4,225.20","755.65M","-0.19%"
"30-07-2020","4,256.95","4,319.90","4,332.05","4,244.80","750.93M","-1.14%"
"29-07-2020","4,305.85","4,290.85","4,346.70","4,280.60","888.15M","0.59%"
"28-07-2020","4,280.65","4,231.20","4,285.00","4,227.25","629.57M","1.32%"
"27-07-2020","4,224.95","4,295.25","4,297.25","4,216.95","546.76M","-1.43%"
"24-07-2020","4,286.20","4,296.50","4,324.60","4,251.30","728.47M","-0.77%"
"23-07-2020","4,319.65","4,300.50","4,329.10","4,290.30","557.71M","0.72%"
