"Date","Price","Open","High","Low","Change %"
"29-08-2018","7.692","7.896","7.896","7.692","-0.01%"
"28-08-2018","7.693","7.683","7.693","7.668","0.18%"
"27-08-2018","7.679","7.770","7.809","7.679","0.63%"
"24-08-2018","7.631","7.742","7.742","7.631","-0.08%"
"23-08-2018","7.637","7.671","7.671","7.637","-0.01%"
"21-08-2018","7.638","7.638","7.652","7.638","-0.01%"
"20-08-2018","7.639","7.663","7.663","7.639","-0.01%"
"16-08-2018","7.640","7.678","7.716","7.640","0.73%"
"14-08-2018","7.585","7.609","7.609","7.585","-0.33%"
"13-08-2018","7.610","7.610","7.634","7.600","0.87%"
"10-08-2018","7.544","7.563","7.587","7.544","-0.09%"
"09-08-2018","7.551","7.584","7.589","7.551","-0.32%"
